tempK,pres,H,Na,Mg,Ca,K,MgOH,trisH,Cl,SO4,HSO4,OH,tris
273.15,10.1325,1,1.5,0.5,0.2,1.2,0.35,0.45,2.25,1.5,0.25,0.4,0.6
278.15,10.1325,1,1.5,0.5,0.2,1.2,0.35,0.45,2.25,1.5,0.25,0.4,0.6
283.15,10.1325,1,1.5,0.5,0.2,1.2,0.35,0.45,2.25,1.5,0.25,0.4,0.6
288.15,10.1325,1,1.5,0.5,0.2,1.2,0.35,0.45,2.25,1.5,0.25,0.4,0.6
293.15,10.1325,1,1.5,0.5,0.2,1.2,0.35,0.45,2.25,1.5,0.25,0.4,0.6
298.15,10.1325,1,1.5,0.5,0.2,1.2,0.35,0.45,2.25,1.5,0.25,0.4,0.6
303.15,10.1325,1,1.5,0.5,0.2,1.2,0.35,0.45,2.25,1.5,0.25,0.4,0.6
308.15,10.1325,1,1.5,0.5,0.2,1.2,0.35,0.45,2.25,1.5,0.25,0.4,0.6
313.15,10.1325,1,1.5,0.5,0.2,1.2,0.35,0.45,2.25,1.5,0.25,0.4,0.6
318.15,10.1325,1,1.5,0.5,0.2,1.2,0.35,0.45,2.25,1.5,0.25,0.4,0.6
323.15,10.1325,1,1.5,0.5,0.2,1.2,0.35,0.45,2.25,1.5,0.25,0.4,0.6
298.15,10.1325,,0.1,,,,,,0.1,,,,
298.15,10.1325,,1,,,,,,1,,,,
298.15,10.1325,,2,,,,,,2,,,,
298.15,10.1325,,3,,,,,,3,,,,
298.15,10.1325,,,0.1,,,,,0.2,,,,
298.15,10.1325,,,1,,,,,2,,,,
298.15,10.1325,,,2,,,,,4,,,,
298.15,10.1325,,,3,,,,,6,,,,
298.15,10.1325,,,,,0.1,,,0.1,,,,
298.15,10.1325,,,,,1,,,1,,,,
298.15,10.1325,,,,,2,,,2,,,,
298.15,10.1325,,,,,3,,,3,,,,
298.15,10.1325,,,,,,,,,,,,0.1
298.15,10.1325,,,,,,,,,,,,1
298.15,10.1325,,,,,,,,,,,,2
298.15,10.1325,,,,,,,,,,,,3
